	variable	value	class
0	XG1	23.550653796182683	Severe covid
1	XG1	20.53229456484759	Severe covid
2	XG1	20.15240833084135	Severe covid
3	XG1	14.813671707548577	Severe covid
4	XG1	16.781458471483102	Severe covid
5	XG1	23.943715098916854	Severe covid
6	XG1	24.778887149580022	Severe covid
7	XG1	27.86870162695777	Severe covid
8	XG1	21.155779134500634	Severe covid
9	XG1	25.14545845121837	Severe covid
10	XG1	24.178649807862286	Severe covid
11	XG1	24.452520023272218	Severe covid
12	XG1	20.27835530281661	Severe covid
13	XG1	22.938627331211	Severe covid
14	XG1	19.00702983409627	Severe covid
15	XG1	17.356861761449938	Severe covid
16	XG1	22.885912399371207	Severe covid
17	XG1	23.916813499759183	Severe covid
18	XG1	21.934435599758608	Severe covid
19	XG1	25.154222764535135	Severe covid
20	XG1	22.201794439163685	Severe covid
21	XG1	16.33877772368914	Severe covid
22	XG1	22.595570734681388	Severe covid
23	XG1	20.603524817711858	Severe covid
24	XG1	28.279846036664427	Severe covid
25	XG1	23.32204613894949	Severe covid
26	XG1	24.47930982008371	Severe covid
27	XG1	21.358565758744113	Severe covid
28	XG1	16.06106096848214	Severe covid
29	XG1	16.598852499949835	Severe covid
30	XG1	18.291645542768595	Severe covid
31	XG1	14.633293823640335	Severe covid
32	XG1	18.702086424712746	Severe covid
33	XG1	17.387743499741102	Severe covid
34	XG1	22.478450561804003	Severe covid
35	XG1	21.917986331192754	Severe covid
36	XG1	23.329803316931063	Severe covid
37	XG1	18.427199013857418	Severe covid
38	XG1	18.92305159532694	Severe covid
39	XG1	27.48712744536661	Severe covid
40	XG1	21.874802319273716	Severe covid
41	XG1	17.48239623589192	Severe covid
42	XG1	23.27621842235205	Severe covid
43	XG1	25.585851262557146	Severe covid
44	XG1	21.28751202263488	Severe covid
45	XG1	22.704068693735323	Severe covid
46	XG1	15.884419753680323	Severe covid
47	XG1	20.807102036260424	Severe covid
48	XG1	21.924467670447186	Severe covid
49	XG1	25.017881548837344	Severe covid
50	XG1	15.108245908235647	Severe covid
51	XG1	15.4911328213776	Severe covid
52	XG1	20.929300945404982	Severe covid
53	XG1	20.415088878180896	Severe covid
54	XG1	20.854144361924895	Severe covid
55	XG1	21.610043358393813	Severe covid
56	XG1	24.92326083041787	Severe covid
57	XG1	19.495125033615516	Severe covid
58	XG1	27.619221559514703	Severe covid
59	XG1	20.95546669159272	Severe covid
60	XG1	15.51185783512398	Severe covid
61	XG1	21.967668577821108	Severe covid
62	XG1	24.307036504365026	Severe covid
63	XG1	14.925166037455364	Severe covid
64	XG1	22.476427316485257	Severe covid
65	XG1	23.356313063471905	Severe covid
66	XG1	22.142417944084837	Severe covid
67	XG1	29.1793660824945	Severe covid
68	XG1	21.986825752017474	Severe covid
69	XG1	27.575027905677068	Severe covid
70	XG1	27.31213720155487	Severe covid
71	XG1	22.830975283250424	Severe covid
72	XG1	29.252162275730072	Severe covid
73	XG1	21.18844109870812	Severe covid
74	XG1	18.390888834047683	Severe covid
75	XG1	28.625244751397865	Severe covid
76	XG1	17.521648000491673	Severe covid
77	XG1	24.061420308201733	Severe covid
78	XG1	22.696388368036924	Severe covid
79	XG1	17.351345283669563	Severe covid
80	XG1	29.340400514095588	Severe covid
81	XG1	22.23488495063966	Severe covid
82	XG1	16.196692466939247	Severe covid
83	XG1	22.47747937770166	Severe covid
84	XG1	25.836276640888865	Severe covid
85	XG1	19.37757859354825	Severe covid
86	XG1	28.580748280181258	Severe covid
87	XG1	23.97179612022577	Severe covid
88	XG1	21.4338618682594	Severe covid
89	XG1	26.22089446125184	Severe covid
90	XG1	20.22261642363274	Severe covid
91	XG1	28.687197533038205	Severe covid
92	XG1	22.910543098953955	Severe covid
93	XG1	19.481210265750278	Severe covid
94	XG1	26.338240468844955	Severe covid
95	XG1	20.524192082499564	Severe covid
96	XG1	28.100794495823738	Severe covid
97	XG1	22.942228566334556	Severe covid
98	XG1	24.965477203789156	Severe covid
99	XG1	24.1791953634095	Severe covid
100	XG1	22.157065008073065	Severe covid
101	XG1	22.667545253929504	Severe covid
102	XG1	17.835375622191552	Severe covid
103	XG1	19.12192552276862	Severe covid
104	XG1	16.188073551547546	Severe covid
105	XG1	18.983903596552008	Severe covid
106	XG1	23.638530815945202	Severe covid
107	XG1	22.820726962466942	Severe covid
108	XG1	21.05582092775737	Severe covid
109	XG1	19.567777981940058	Severe covid
110	XG1	16.092717305654062	Severe covid
111	XG1	18.54393097698667	Severe covid
112	XG1	19.82032350583112	Severe covid
113	XG1	15.338963063541046	Severe covid
114	XG1	14.528980556878825	Severe covid
115	XG1	16.01527739084525	Severe covid
116	XG1	18.422424771900033	Severe covid
117	XG1	18.189339722179746	Severe covid
118	XG1	18.553673350095416	Severe covid
119	XG1	23.228041247890346	Severe covid
120	XG1	22.076144591489438	Severe covid
121	XG1	19.174680234643635	Severe covid
122	XG1	17.933769884374982	Severe covid
123	XG1	25.964903993310656	Severe covid
124	XG1	16.882573927722383	Severe covid
125	XG1	17.541738506621307	Severe covid
126	XG1	14.671079934313033	Severe covid
127	XG1	20.096920360587124	Severe covid
128	XG1	16.887593522552383	Severe covid
129	XG1	19.051559458947843	Severe covid
130	XG1	17.24207927248976	Severe covid
131	XG1	24.768552352260837	Severe covid
132	XG1	19.640922294001665	Severe covid
133	XG1	17.18390989325117	Severe covid
134	XG1	17.57087136074761	Severe covid
135	XG1	14.34035935768706	Severe covid
136	XG1	19.3815462515975	Severe covid
137	XG1	24.6402269499146	Severe covid
138	XG1	19.77083122321781	Severe covid
139	XG1	16.9025840578837	Severe covid
140	XG1	23.76356869777389	Severe covid
141	XG1	18.731946158085236	Severe covid
142	XG1	21.797706443158145	Severe covid
143	XG1	19.73987154570086	Severe covid
144	XG1	19.077992772319327	Severe covid
145	XG1	17.907292199601038	Severe covid
146	XG1	18.97447043282494	Severe covid
147	XG1	21.876585983872097	Severe covid
148	XG1	16.474228783932933	Severe covid
149	XG1	19.6135574793102	Severe covid
150	XG1	17.79276805698621	Severe covid
151	XG1	24.42031659635789	Severe covid
152	XG1	23.039687007135228	Severe covid
153	XG1	23.21564867390814	Severe covid
154	XG1	20.135931559232457	Severe covid
155	XG1	20.684523489896165	Severe covid
156	XG1	20.17690054299074	Severe covid
157	XG1	17.329949588404634	Severe covid
158	XG1	16.0556821042884	Severe covid
159	XG1	22.723190962852602	Severe covid
160	XG1	23.724842617212218	Severe covid
161	XG1	21.9597658613863	Severe covid
162	XG1	18.14104018322994	Severe covid
163	XG1	14.07045641594465	Severe covid
164	XG1	22.50354323049154	Severe covid
165	XG1	16.311124242462867	Severe covid
